TicketID,CreatedAt,ClosedAt,Priority,Type,Status,Region,Channel,SLA_Target_Hours,Resolution_Hours,SLA_Met
1,2025-07-23,2025-07-30 01:00:00,Critical,Request,Open,Amazonía,Ecommerce,24,169.0,0
2,2024-09-03,2024-09-10 16:00:00,Medium,Incident,Closed,Pacífico,Retail,48,184.0,0
3,2024-02-29,2024-03-03 21:00:00,Low,Request,Resolved,Pacífico,Retail,72,93.0,0
4,2025-09-30,2025-10-06 21:00:00,Medium,Incident,Closed,Orinoquía,Partners,48,165.0,0
5,2025-08-11,2025-08-11 09:00:00,High,Request,Closed,Orinoquía,Retail,24,9.0,1
6,2025-06-26,2025-07-03 14:00:00,Low,Incident,Resolved,Orinoquía,Ecommerce,72,182.0,0
7,2024-10-17,2024-10-19 11:00:00,Low,Incident,Resolved,Pacífico,Partners,72,59.0,1
8,2025-05-05,2025-05-08 14:00:00,Medium,Incident,Closed,Caribe,Retail,48,86.0,0
9,2024-02-18,2024-02-20 05:00:00,High,Incident,Closed,Amazonía,Partners,24,53.0,0
10,2024-10-23,2024-10-25 06:00:00,High,Request,Resolved,Orinoquía,Ecommerce,24,54.0,0
11,2025-07-26,2025-07-31 21:00:00,Low,Incident,Closed,Pacífico,Retail,72,141.0,0
12,2024-05-06,2024-05-07 03:00:00,Medium,Incident,Resolved,Amazonía,Retail,48,27.0,1
13,2024-01-13,2024-01-15 13:00:00,Critical,Incident,Resolved,Andina,Retail,24,61.0,0
14,2024-10-02,2024-10-04 18:00:00,High,Request,Resolved,Amazonía,Retail,24,66.0,0
15,2024-08-25,2024-08-25 07:00:00,Low,Incident,Open,Amazonía,Retail,72,7.0,1
16,2024-01-23,2024-01-26 02:00:00,Low,Incident,Closed,Orinoquía,Partners,72,74.0,0
17,2024-08-30,2024-09-06 14:00:00,Low,Request,Closed,Caribe,Retail,72,182.0,0
18,2024-07-22,2024-07-24 09:00:00,Low,Incident,Resolved,Orinoquía,Partners,72,57.0,1
19,2025-06-27,2025-06-30 13:00:00,Low,Request,Resolved,Amazonía,Partners,72,85.0,0
20,2025-08-15,2025-08-19 16:00:00,Medium,Request,Resolved,Caribe,Retail,48,112.0,0
21,2025-02-21,2025-02-21 12:00:00,Low,Request,Closed,Andina,Ecommerce,72,12.0,1
22,2025-08-05,2025-08-12 16:00:00,High,Request,Closed,Pacífico,Ecommerce,24,184.0,0
23,2025-06-04,2025-06-09 23:00:00,Low,Request,Resolved,Caribe,Retail,72,143.0,0
24,2024-10-22,2024-10-30 03:00:00,Critical,Request,Resolved,Andina,Retail,24,195.0,0
25,2024-03-21,2024-03-26 19:00:00,Medium,Request,Resolved,Pacífico,Ecommerce,48,139.0,0
26,2025-01-06,2025-01-07 15:00:00,Low,Incident,Resolved,Andina,Ecommerce,72,39.0,1
27,2025-04-11,2025-04-12 09:00:00,Medium,Request,Resolved,Orinoquía,Partners,48,33.0,1
28,2024-07-21,2024-07-26 06:00:00,Medium,Incident,Open,Amazonía,Partners,48,126.0,0
29,2024-09-19,2024-09-21 14:00:00,Critical,Request,Resolved,Orinoquía,Ecommerce,24,62.0,0
30,2025-07-08,2025-07-10 13:00:00,Low,Incident,Resolved,Caribe,Retail,72,61.0,1
31,2024-03-30,2024-04-04 20:00:00,Medium,Incident,Closed,Pacífico,Retail,48,140.0,0
32,2024-01-14,2024-01-22 03:00:00,Low,Incident,Resolved,Pacífico,Ecommerce,72,195.0,0
33,2025-05-23,2025-05-30 20:00:00,Medium,Incident,Closed,Amazonía,Ecommerce,48,188.0,0
34,2024-12-07,2024-12-14 19:00:00,Low,Change,Resolved,Orinoquía,Ecommerce,72,187.0,0
35,2025-04-10,2025-04-17 07:00:00,Low,Request,Resolved,Orinoquía,Partners,72,175.0,0
36,2024-04-14,2024-04-18 11:00:00,Medium,Request,Resolved,Pacífico,Partners,48,107.0,0
37,2024-11-15,2024-11-15 21:00:00,Medium,Request,Closed,Orinoquía,Partners,48,21.0,1
38,2024-08-18,2024-08-20 19:00:00,Low,Incident,In Progress,Amazonía,Retail,72,67.0,1
39,2024-11-20,2024-11-20 01:00:00,High,Request,Closed,Pacífico,Partners,24,1.0,1
40,2024-02-04,2024-02-11 09:00:00,Low,Change,Closed,Pacífico,Ecommerce,72,177.0,0
41,2024-10-21,2024-10-28 12:00:00,Low,Request,Closed,Caribe,Ecommerce,72,180.0,0
42,2025-05-03,2025-05-10 16:00:00,Low,Incident,Open,Caribe,Retail,72,184.0,0
43,2025-05-06,2025-05-11 18:00:00,Low,Change,Closed,Andina,Partners,72,138.0,0
44,2024-06-20,2024-06-20 01:00:00,Medium,Incident,In Progress,Pacífico,Ecommerce,48,1.0,1
45,2024-01-28,2024-02-04 10:00:00,Low,Request,Closed,Pacífico,Retail,72,178.0,0
46,2024-08-29,2024-08-30 05:00:00,Medium,Incident,Resolved,Andina,Ecommerce,48,29.0,1
47,2024-01-08,2024-01-13 23:00:00,Low,Incident,In Progress,Amazonía,Ecommerce,72,143.0,0
48,2024-01-03,2024-01-03 10:00:00,Low,Request,Closed,Caribe,Ecommerce,72,10.0,1
49,2025-03-12,2025-03-14 17:00:00,Low,Incident,Resolved,Orinoquía,Partners,72,65.0,1
50,2025-06-12,2025-06-13 18:00:00,Low,Change,Closed,Orinoquía,Ecommerce,72,42.0,1
51,2024-05-04,2024-05-06 20:00:00,Low,Request,Closed,Caribe,Retail,72,68.0,1
52,2024-11-25,2024-11-26 06:00:00,High,Request,In Progress,Andina,Retail,24,30.0,0
53,2025-03-11,2025-03-14 14:00:00,High,Incident,Closed,Caribe,Partners,24,86.0,0
54,2024-11-09,2024-11-11 00:00:00,Medium,Change,Closed,Pacífico,Ecommerce,48,48.0,1
55,2025-02-03,2025-02-06 12:00:00,Critical,Change,Resolved,Orinoquía,Retail,24,84.0,0
56,2025-02-11,2025-02-12 03:00:00,Medium,Request,Open,Pacífico,Ecommerce,48,27.0,1
57,2025-08-14,2025-08-18 10:00:00,Low,Request,Closed,Amazonía,Partners,72,106.0,0
58,2024-04-08,2024-04-11 10:00:00,Low,Request,Resolved,Orinoquía,Retail,72,82.0,0
59,2025-04-19,2025-04-23 22:00:00,Low,Request,Resolved,Caribe,Ecommerce,72,118.0,0
60,2025-02-06,2025-02-12 12:00:00,Low,Incident,Resolved,Amazonía,Ecommerce,72,156.0,0
61,2024-03-25,2024-03-28 14:00:00,High,Incident,In Progress,Caribe,Retail,24,86.0,0
62,2024-10-18,2024-10-26 02:00:00,Low,Change,Resolved,Amazonía,Ecommerce,72,194.0,0
63,2025-03-30,2025-04-04 08:00:00,Medium,Incident,Resolved,Caribe,Partners,48,128.0,0
64,2025-03-20,2025-03-27 18:00:00,Low,Incident,Resolved,Orinoquía,Partners,72,186.0,0
65,2024-01-10,2024-01-17 20:00:00,Low,Request,Closed,Orinoquía,Ecommerce,72,188.0,0
66,2025-04-07,2025-04-14 20:00:00,Low,Incident,Closed,Andina,Partners,72,188.0,0
67,2024-01-02,2024-01-05 04:00:00,Low,Request,Closed,Orinoquía,Ecommerce,72,76.0,0
68,2024-07-20,2024-07-23 19:00:00,Medium,Incident,In Progress,Orinoquía,Partners,48,91.0,0
69,2024-08-02,2024-08-04 05:00:00,Medium,Incident,Resolved,Andina,Ecommerce,48,53.0,0
70,2024-02-21,2024-02-24 12:00:00,Low,Incident,Resolved,Andina,Ecommerce,72,84.0,0
71,2024-04-30,2024-05-02 23:00:00,Medium,Incident,In Progress,Caribe,Ecommerce,48,71.0,0
72,2024-12-27,2024-12-31 16:00:00,Low,Incident,Resolved,Caribe,Partners,72,112.0,0
73,2024-02-26,2024-03-03 14:00:00,Medium,Request,Resolved,Pacífico,Retail,48,158.0,0
74,2025-09-08,2025-09-12 18:00:00,Low,Incident,Closed,Pacífico,Partners,72,114.0,0
75,2025-02-19,2025-02-19 20:00:00,Medium,Incident,Resolved,Pacífico,Partners,48,20.0,1
76,2025-02-16,2025-02-21 12:00:00,Low,Request,Closed,Amazonía,Ecommerce,72,132.0,0
77,2024-01-04,2024-01-08 05:00:00,Medium,Request,Closed,Pacífico,Partners,48,101.0,0
78,2024-01-15,2024-01-16 14:00:00,High,Incident,Closed,Orinoquía,Retail,24,38.0,0
79,2025-05-26,2025-05-29 15:00:00,Low,Incident,Resolved,Caribe,Retail,72,87.0,0
80,2025-04-01,2025-04-08 20:00:00,Low,Incident,Resolved,Amazonía,Retail,72,188.0,0
81,2024-08-16,2024-08-16 12:00:00,Medium,Incident,Resolved,Andina,Ecommerce,48,12.0,1
82,2024-09-15,2024-09-21 12:00:00,Medium,Request,Closed,Pacífico,Retail,48,156.0,0
83,2024-06-15,2024-06-22 10:00:00,High,Incident,Open,Pacífico,Retail,24,178.0,0
84,2024-07-25,2024-07-31 13:00:00,Low,Incident,Resolved,Pacífico,Ecommerce,72,157.0,0
85,2025-08-07,2025-08-08 23:00:00,High,Request,Resolved,Andina,Ecommerce,24,47.0,0
86,2025-03-21,2025-03-29 03:00:00,High,Request,Resolved,Orinoquía,Ecommerce,24,195.0,0
87,2024-04-16,2024-04-21 08:00:00,Medium,Request,Resolved,Orinoquía,Retail,48,128.0,0
88,2025-08-08,2025-08-13 17:00:00,Low,Request,Resolved,Orinoquía,Retail,72,137.0,0
89,2025-06-19,2025-06-24 01:00:00,Medium,Incident,Closed,Caribe,Retail,48,121.0,0
90,2025-05-17,2025-05-17 17:00:00,High,Incident,In Progress,Amazonía,Partners,24,17.0,1
91,2024-02-01,2024-02-04 22:00:00,High,Incident,Resolved,Pacífico,Partners,24,94.0,0
92,2024-11-12,2024-11-19 05:00:00,High,Incident,Open,Amazonía,Retail,24,173.0,0
93,2025-02-12,2025-02-14 00:00:00,Low,Incident,Resolved,Amazonía,Partners,72,48.0,1
94,2024-01-16,2024-01-20 07:00:00,Medium,Request,Resolved,Amazonía,Partners,48,103.0,0
95,2025-07-22,2025-07-24 22:00:00,Low,Request,In Progress,Amazonía,Ecommerce,72,70.0,1
96,2024-04-16,2024-04-22 13:00:00,Low,Request,Resolved,Orinoquía,Partners,72,157.0,0
97,2024-11-14,2024-11-17 07:00:00,Medium,Request,Resolved,Pacífico,Retail,48,79.0,0
98,2025-06-16,2025-06-21 04:00:00,Low,Incident,Resolved,Pacífico,Ecommerce,72,124.0,0
99,2024-11-19,2024-11-20 15:00:00,High,Request,Resolved,Orinoquía,Ecommerce,24,39.0,0
100,2025-07-03,2025-07-03 20:00:00,Low,Incident,Closed,Amazonía,Ecommerce,72,20.0,1
101,2024-07-05,2024-07-11 03:00:00,Critical,Incident,Closed,Pacífico,Retail,24,147.0,0
102,2024-08-26,2024-08-30 23:00:00,Medium,Request,In Progress,Pacífico,Partners,48,119.0,0
103,2025-08-01,2025-08-04 14:00:00,Medium,Incident,In Progress,Amazonía,Retail,48,86.0,0
104,2024-11-24,2024-12-01 08:00:00,Medium,Incident,Closed,Caribe,Ecommerce,48,176.0,0
105,2025-07-22,2025-07-29 23:00:00,Low,Incident,Closed,Caribe,Retail,72,191.0,0
106,2024-10-10,2024-10-16 19:00:00,High,Request,Closed,Caribe,Partners,24,163.0,0
107,2024-06-28,2024-06-29 15:00:00,Medium,Incident,Closed,Orinoquía,Partners,48,39.0,1
108,2024-04-10,2024-04-17 21:00:00,Critical,Incident,Resolved,Pacífico,Partners,24,189.0,0
109,2024-09-04,2024-09-08 00:00:00,Medium,Incident,Open,Pacífico,Ecommerce,48,96.0,0
110,2024-02-06,2024-02-06 08:00:00,Low,Incident,Closed,Caribe,Partners,72,8.0,1
111,2024-09-16,2024-09-17 05:00:00,Medium,Request,Resolved,Amazonía,Retail,48,29.0,1
112,2024-04-21,2024-04-25 21:00:00,High,Incident,Resolved,Amazonía,Retail,24,117.0,0
113,2024-04-07,2024-04-07 03:00:00,Critical,Incident,Resolved,Orinoquía,Ecommerce,24,3.0,1
114,2025-04-06,2025-04-07 05:00:00,Low,Change,Resolved,Caribe,Retail,72,29.0,1
115,2024-10-20,2024-10-26 06:00:00,Low,Incident,Resolved,Andina,Partners,72,150.0,0
116,2024-02-25,2024-02-25 01:00:00,High,Request,Closed,Pacífico,Partners,24,1.0,1
117,2024-09-21,2024-09-26 23:00:00,Medium,Incident,Resolved,Orinoquía,Partners,48,143.0,0
