OrderID,OrderDate,CustomerID,ProductID,Channel,Qty,DiscountPct,ListPrice,UnitPrice,NetPrice,LineAmount,IsReturn,IsCancelled
1,2024-09-04,91,1056,Ecommerce,4,0.0,1004.29,990.0,990.0,3960.0,0,0
2,2024-07-02,283,1074,Ecommerce,7,0.0,877.39,871.18,871.18,6098.26,1,0
3,2025-09-25,48,1057,Partners,7,0.0,1300.51,1271.66,1271.66,8901.62,0,0
4,2024-03-17,365,1061,Retail,8,0.15,1287.8,1268.48,1078.21,8625.68,0,0
5,2024-03-26,104,1097,Ecommerce,8,0.0,86.95,84.06,84.06,672.48,0,1
6,2024-08-18,364,1062,Ecommerce,9,0.1,985.5,963.81,867.43,7806.87,0,0
7,2024-11-11,324,1025,Retail,6,0.0,1535.88,1511.81,1511.81,9070.86,0,0
8,2025-07-29,276,1083,Ecommerce,4,0.0,887.97,920.69,920.69,3682.76,0,0
9,2025-02-04,163,1043,Retail,8,0.1,1137.77,1176.43,1058.79,8470.32,0,0
10,2024-02-05,395,1073,Ecommerce,1,0.0,788.16,824.11,824.11,824.11,0,0
11,2025-08-12,130,1067,Retail,3,0.1,942.42,955.39,859.85,2579.55,0,0
12,2024-10-15,248,1081,Ecommerce,5,0.05,772.77,738.03,701.13,3505.65,0,0
13,2025-09-21,240,1050,Retail,4,0.0,1162.74,1187.48,1187.48,4749.92,0,0
14,2024-06-10,25,1040,Retail,7,0.0,1766.05,1785.85,1785.85,12500.95,0,0
15,2024-02-15,364,1032,Retail,4,0.0,1708.12,1772.35,1772.35,7089.4,0,1
16,2025-09-20,32,1096,Ecommerce,3,0.05,89.5,87.26,82.9,248.7,0,0
17,2025-04-20,171,1022,Partners,4,0.05,1605.82,1676.97,1593.12,6372.48,0,0
18,2025-02-02,305,1012,Partners,7,0.1,2380.94,2412.3,2171.07,15197.49,0,0
19,2024-02-15,187,1031,Partners,7,0.0,1793.35,1802.37,1802.37,12616.59,0,0
20,2024-02-12,195,1052,Retail,4,0.0,1264.5,1260.39,1260.39,5041.56,0,0
21,2024-10-17,66,1084,Ecommerce,8,0.05,89.48,92.46,87.84,702.72,0,0
22,2024-04-05,213,1026,Retail,8,0.0,1816.86,1881.56,1881.56,15052.48,0,0
23,2024-07-02,118,1046,Retail,2,0.0,1158.24,1128.26,1128.26,2256.52,0,0
24,2024-08-18,134,1010,Ecommerce,2,0.05,2679.23,2776.21,2637.4,5274.8,0,0
25,2024-09-22,269,1074,Partners,8,0.0,877.39,910.39,910.39,7283.12,0,0
26,2024-09-26,358,1027,Retail,6,0.0,1980.3,1925.55,1925.55,11553.3,0,0
27,2024-12-07,181,1074,Ecommerce,3,0.0,877.39,896.03,896.03,2688.09,0,0
28,2024-01-02,314,1081,Retail,9,0.05,772.77,778.76,739.82,6658.38,0,0
29,2024-10-14,260,1011,Retail,8,0.0,2803.74,2775.45,2775.45,22203.6,0,0
30,2024-07-27,195,1055,Retail,3,0.05,960.68,972.95,924.3,2772.9,0,0
